id,name,state,county,facility_area_sqft,lat,lon,source_layer,source_file
00037947315,Layer42 Santa Clara,CA,Santa Clara County,25031.0,37.378039948434136,-121.95415110304295,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00038305431,Digital Realty Silicon Valley SJC34,CA,Santa Clara County,129242.0,37.37238819523252,-121.97361948715526,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00038305568,Csquare SFO1,CA,Santa Clara County,92193.0,37.371519049598696,-121.96969744738088,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00038305611,,CA,Santa Clara County,89293.0,37.37338590954395,-121.97269293993045,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00039083541,Strategic Datasphere,GA,Fulton County,127487.0,34.09479739753544,-84.23569669904141,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00039083797,Flexential Atlanta - Alpharetta Data Center,GA,Fulton County,74814.0,34.08700522087238,-84.25175214535511,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00039083830,Secure Data Center,GA,Fulton County,184012.0,34.09370761226,-84.25087563127063,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00040608200,Cologix Santa Clara SV1 Data Center,CA,Santa Clara County,80686.0,37.365332809551084,-121.96170042164619,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00042323063,Netrality Data Centers,MO,St. Louis city,23093.0,38.62926158352849,-90.197174834978,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00045448535,,MN,Hennepin County,51180.0,44.99145768142225,-93.28029157225949,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00045583050,,VA,Prince William County,52906.0,38.80341459582856,-77.51057747962513,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00045776978,Amazon IAD11,VA,Prince William County,122474.0,38.790500006452135,-77.54111111954948,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00045776979,Amazon IAD24,VA,Prince William County,31388.0,38.79035015175034,-77.54000633908686,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00045776988,Amazon IAD7,VA,Prince William County,109423.0,38.791203751967444,-77.53827709301147,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00046128119,CyrusOne CIN2,OH,Hamilton County,29534.0,39.102694860367215,-84.51789753744696,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00046831933,VA 4,VA,Prince William County,263538.0,38.778111268742116,-77.594876153305,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
